datum,C3
2020-09-13,37.0
2020-09-20,56.0
2020-09-27,38.3
2020-10-04,30.95
2020-10-11,44.19
2020-10-18,12.8
2020-10-25,20.0
2020-11-01,56.5
2020-11-08,10.8
2020-11-15,19.37
2020-11-22,13.0
2020-11-29,39.0
2020-12-06,19.6
2020-12-13,60.12
2020-12-20,11.3
2020-12-27,50.6
2021-01-03,13.27
2021-01-10,19.67
2021-01-17,38.6
2021-01-24,53.3
2021-01-31,58.213
2021-02-07,58.46
2021-02-14,25.91
2021-02-21,41.9
2021-02-28,34.5
2021-03-07,37.5
2021-03-14,36.0
2021-03-21,47.0
2021-03-28,19.46
2021-04-04,12.8
2021-04-11,42.5
2021-04-18,30.3
2021-04-25,23.9
2021-05-02,11.8
2021-05-09,15.0
2021-05-16,56.12
2021-05-23,59.9
2021-05-30,10.0
2021-06-06,20.0
2021-06-13,41.7
2021-06-20,51.8
2021-06-27,59.34
2021-07-04,44.5
2021-07-11,11.1
2021-07-18,29.8
2021-07-25,20.9
2021-08-01,42.76
2021-08-08,30.0
2021-08-15,57.3
2021-08-22,36.4
2021-08-29,45.4
2021-09-05,47.7
2021-09-12,12.1
2021-09-19,54.1
2021-09-26,16.6
2021-10-03,18.8
2021-10-10,22.1
2021-10-17,17.8
2021-10-24,46.6
2021-10-31,59.9
2021-11-07,14.8
2021-11-14,29.6
2021-11-21,47.6
2021-11-28,44.7
2021-12-05,25.23
2021-12-12,19.43
2021-12-19,27.0
2021-12-26,29.1
2022-01-02,25.27
2022-01-09,29.41
2022-01-16,14.6
2022-01-23,14.4
2022-01-30,16.9
2022-02-06,57.7
2022-02-13,25.2
2022-02-20,18.6
2022-02-27,37.7
2022-03-06,23.0
2022-03-13,41.67
2022-03-20,31.81
2022-03-27,33.99
2022-04-03,19.2
2022-04-10,58.6
2022-04-17,27.9
2022-04-24,46.9
2022-05-01,23.62
2022-05-08,52.0
2022-05-15,38.85
2022-05-22,35.9
2022-05-29,44.3
2022-06-05,44.4
2022-06-12,15.8
2022-06-19,16.2
2022-06-26,23.5
2022-07-03,10.2
2022-07-10,41.0
2022-07-17,57.41
2022-07-24,48.2
2022-07-31,42.0
2022-08-07,14.96
2022-08-14,18.5
2022-08-21,13.26
2022-08-28,31.1
2022-09-04,26.4
2022-09-11,57.96
2022-09-18,24.9
2022-09-25,53.7
2022-10-02,27.2
2022-10-09,46.2
2022-10-16,15.31
2022-10-23,19.0
2022-10-30,39.44
2022-11-06,35.0
2022-11-13,25.15
2022-11-20,29.02
2022-11-27,16.3
2022-12-04,43.8
2022-12-11,35.0
2022-12-18,27.9
2022-12-25,37.4
2023-01-01,34.6
2023-01-08,30.023
2023-01-15,20.8
2023-01-22,22.1
2023-01-29,24.347
2023-02-05,30.8
2023-02-12,23.8
2023-02-19,57.7
2023-02-26,51.02
2023-03-05,39.76
2023-03-12,46.2
2023-03-19,31.9
2023-03-26,58.0
2023-04-02,33.4
2023-04-09,19.8
2023-04-16,54.1
2023-04-23,49.47
2023-04-30,19.0
2023-05-07,32.9
2023-05-14,45.8
2023-05-21,37.21
2023-05-28,24.0
2023-06-04,35.0
2023-06-11,13.3
2023-06-18,41.3
2023-06-25,25.9
2023-07-02,56.65
2023-07-09,18.68
2023-07-16,24.4
2023-07-23,31.7
2023-07-30,13.0
2023-08-06,55.7
2023-08-13,52.8
2023-08-20,12.2
2023-08-27,58.7
2023-09-03,58.6
2023-09-10,33.67
2023-09-17,11.6
2023-09-24,29.6
2023-10-01,42.0
2023-10-08,18.21
2023-10-15,26.2
2023-10-22,29.07
2023-10-29,29.32
2023-11-05,15.2
2023-11-12,53.75
2023-11-19,49.823
2023-11-26,52.68
2023-12-03,22.84
