datum,C5
2017-10-01,48.0
2017-10-08,42.0
2017-10-15,48.0
2017-10-22,41.0
2017-10-29,73.0
2017-11-05,48.0
2017-11-12,35.0
2017-11-19,44.0
2017-11-26,40.0
2017-12-03,64.0
2017-12-10,35.0
2017-12-17,50.0
2017-12-24,53.0
2017-12-31,38.0
2018-01-07,68.0
2018-01-14,31.0
2018-01-21,52.0
2018-01-28,49.0
2018-02-04,64.0
2018-02-11,64.0
2018-02-18,76.0
2018-02-25,62.0
2018-03-04,49.0
2018-03-11,115.0
2018-03-18,91.0
2018-03-25,77.0
2018-04-01,50.0
2018-04-08,117.0
2018-04-15,83.0
2018-04-22,64.0
2018-04-29,51.0
2018-05-06,60.0
2018-05-13,53.0
2018-05-20,66.0
2018-05-27,59.0
2018-06-03,60.0
2018-06-10,59.0
2018-06-17,61.0
2018-06-24,57.0
2018-07-01,45.0
2018-07-08,66.0
2018-07-15,78.0
2018-07-22,62.0
2018-07-29,65.0
2018-08-05,57.0
2018-08-12,58.0
2018-08-19,66.0
2018-08-26,56.0
2018-09-02,44.0
2018-09-09,54.0
2018-09-16,63.0
2018-09-23,71.0
2018-09-30,64.0
2018-10-07,54.0
2018-10-14,60.0
2018-10-21,87.0
2018-10-28,50.0
2018-11-04,71.0
2018-11-11,42.2
2018-11-18,70.0
2018-11-25,63.0
2018-12-02,54.0
2018-12-09,55.0
2018-12-16,60.0
2018-12-23,51.0
2018-12-30,53.0
2019-01-06,67.0
2019-01-13,51.0
2019-01-20,79.2
2019-01-27,69.0
2019-02-03,69.0
2019-02-10,64.0
2019-02-17,50.0
2019-02-24,78.4
2019-03-03,71.0
2019-03-10,49.0
2019-03-17,72.0
2019-03-24,66.0
2019-03-31,68.4
2019-04-07,69.0
2019-04-14,62.0
2019-04-21,72.4
2019-04-28,80.0
2019-05-05,67.0
2019-05-12,52.0
2019-05-19,79.0
2019-05-26,68.0
2019-06-02,49.8
2019-06-09,40.0
2019-06-16,52.0
2019-06-23,46.0
2019-06-30,49.0
2019-07-07,41.0
2019-07-14,47.0
2019-07-21,53.6
2019-07-28,55.0
2019-08-04,70.0
2019-08-11,54.0
2019-08-18,57.0
2019-08-25,53.0
2019-09-01,61.0
2019-09-08,45.2
2019-09-15,51.0
2019-09-22,67.2
2019-09-29,91.0
2019-10-06,150.0
2019-10-13,74.0
2019-10-20,57.0
2019-10-27,45.0
2019-11-03,113.0
2019-11-10,152.0
2019-11-17,19.0
2019-11-24,76.0
2019-12-01,112.2
2019-12-08,53.0
2019-12-15,140.0
2019-12-22,51.0
2019-12-29,99.0
2020-01-05,136.0
2020-01-12,38.0
2020-01-19,147.0
2020-01-26,67.0
2020-02-02,117.0
2020-02-09,67.0
2020-02-16,100.0
2020-02-23,99.0
2020-03-01,86.0
2020-03-08,124.0
2020-03-15,75.0
2020-03-22,109.9
2020-03-29,94.0
2020-04-05,122.0
2020-04-12,91.0
2020-04-19,22.0
2020-04-26,74.2
2020-05-03,43.0
2020-05-10,30.0
2020-05-17,59.0
2020-05-24,30.0
2020-05-31,19.0
2020-06-07,41.0
2020-06-14,102.0
2020-06-21,102.0
2020-06-28,110.0
2020-07-05,56.0
2020-07-12,109.0
2020-07-19,128.0
2020-07-26,37.0
2020-08-02,97.0
2020-08-09,19.0
2020-08-16,129.0
2020-08-23,56.0
2020-08-30,66.0
2020-09-06,109.0
2020-09-13,115.0
2020-09-20,110.0
2020-09-27,128.0
2020-10-04,98.5
2020-10-11,25.0
2020-10-18,54.0
2020-10-25,133.0
2020-11-01,120.0
2020-11-08,124.0
2020-11-15,31.0
2020-11-22,108.0
2020-11-29,113.0
2020-12-06,98.0
2020-12-13,48.0
2020-12-20,106.0
2020-12-27,91.0
2021-01-03,44.0
2021-01-10,66.0
2021-01-17,87.0
2021-01-24,97.0
2021-01-31,135.0
2021-02-07,104.0
2021-02-14,59.0
2021-02-21,108.0
2021-02-28,108.0
2021-03-07,63.0
2021-03-14,19.0
2021-03-21,78.0
2021-03-28,127.0
2021-04-04,94.0
2021-04-11,83.0
2021-04-18,81.0
2021-04-25,92.0
2021-05-02,70.0
2021-05-09,79.0
2021-05-16,85.0
2021-05-23,93.0
2021-05-30,128.0
2021-06-06,111.0
2021-06-13,149.0
2021-06-20,142.0
2021-06-27,82.3
2021-07-04,140.0
2021-07-11,75.2
2021-07-18,82.0
2021-07-25,71.0
2021-08-01,41.0
2021-08-08,136.0
2021-08-15,31.0
2021-08-22,54.0
2021-08-29,24.0
2021-09-05,85.0
2021-09-12,120.0
2021-09-19,61.0
2021-09-26,95.0
2021-10-03,20.0
2021-10-10,134.0
2021-10-17,104.0
2021-10-24,62.0
2021-10-31,152.0
2021-11-07,122.0
2021-11-14,44.0
2021-11-21,110.0
2021-11-28,23.0
2021-12-05,82.0
2021-12-12,33.0
2021-12-19,50.0
2021-12-26,55.0
2022-01-02,27.0
2022-01-09,107.0
2022-01-16,50.0
2022-01-23,18.0
2022-01-30,128.0
2022-02-06,146.0
2022-02-13,79.0
2022-02-20,83.0
2022-02-27,72.0
2022-03-06,72.6
2022-03-13,144.0
2022-03-20,129.0
2022-03-27,114.0
2022-04-03,133.0
2022-04-10,111.0
2022-04-17,120.0
2022-04-24,120.0
2022-05-01,21.0
2022-05-08,63.0
2022-05-15,40.0
2022-05-22,37.0
2022-05-29,105.0
2022-06-05,45.0
2022-06-12,97.4
2022-06-19,95.0
2022-06-26,154.0
2022-07-03,36.0
2022-07-10,123.0
2022-07-17,104.0
2022-07-24,134.0
2022-07-31,119.0
2022-08-07,148.0
2022-08-14,123.4
2022-08-21,91.0
2022-08-28,94.1
2022-09-04,73.0
2022-09-11,144.0
2022-09-18,57.0
2022-09-25,52.0
2022-10-02,35.0
2022-10-09,69.0
2022-10-16,95.0
2022-10-23,67.0
2022-10-30,24.0
2022-11-06,78.0
2022-11-13,135.0
2022-11-20,137.0
2022-11-27,136.0
2022-12-04,81.0
2022-12-11,132.0
2022-12-18,79.0
2022-12-25,54.0
2023-01-01,131.0
2023-01-08,130.0
2023-01-15,38.0
2023-01-22,126.0
2023-01-29,76.0
2023-02-05,26.0
2023-02-12,99.0
2023-02-19,25.0
2023-02-26,137.0
2023-03-05,65.0
2023-03-12,72.0
2023-03-19,40.0
2023-03-26,147.0
2023-04-02,128.0
2023-04-09,86.0
2023-04-16,19.0
2023-04-23,99.0
2023-04-30,63.56
2023-05-07,67.0
2023-05-14,77.0
2023-05-21,81.0
2023-05-28,154.0
2023-06-04,48.0
2023-06-11,84.0
2023-06-18,75.0
2023-06-25,82.0
2023-07-02,36.0
2023-07-09,87.0
2023-07-16,102.0
2023-07-23,77.0
2023-07-30,127.0
2023-08-06,62.0
2023-08-13,58.0
2023-08-20,99.0
2023-08-27,94.0
2023-09-03,130.9
2023-09-10,146.0
2023-09-17,152.0
2023-09-24,125.0
2023-10-01,126.0
2023-10-08,75.0
2023-10-15,129.0
2023-10-22,46.0
2023-10-29,50.0
2023-11-05,42.0
2023-11-12,52.0
2023-11-19,76.0
2023-11-26,96.0
2023-12-03,83.0
